번호,멀웨어 유형,카오스 수식,탐지 방식,탐지 수식(정밀),디자인 패턴,파이썬 예시코드,Snort 룰 예시,탐지율
1,바이러스 (Lorenz),"dx/dt=σ(y−x), dy/dt=x(ρ−z)−y, dz/dt=xy−βz",푸리에-행렬곱/행렬합,Let F=|FFT(x)|. ① max_i |F_i·F_{i+1}| > 10^6  OR  ② max_i ∑_{j=i}^{i+63} |F_j| > 5·10^5,스펙트럼 고진폭 집중 + 인접 bin 결합 강함,"F = np.abs(np.fft.fft(x))[:len(x)//2]
dot_ok = (F[:-1]*F[1:]).max() > 1e6
seg_ok = np.convolve(F, np.ones(64),'valid').max() > 5e5
detected = dot_ok or seg_ok
","alert tcp any any -> any any (msg:""VIRUS Lorenz Pattern""; content:""FREQ_PEAK""; sid:100001; rev:1;)",
2,랜섬웨어 (Rössler),"dx/dt=−y−z, dy/dt=x+a y, dz/dt=b+z(x−c)",푸리에-행렬곱/행렬합,Same as #1,스펙트럼 고진폭 집중 + 인접 bin 결합 강함,"F = np.abs(np.fft.fft(x))[:len(x)//2]
detected = (F[:-1]*F[1:]).max() > 1e6 or                    np.convolve(F, np.ones(64),'valid').max() > 5e5
","alert tcp any any -> any any (msg:""RANSOMWARE Rossler Pattern""; content:""FREQ_PEAK""; sid:100002; rev:1;)",
3,애드웨어 (Ikeda),"t=0.4−6/(1+x^2+y^2), x'=1+u(x cos t − y sin t), y'=u(x sin t + y cos t)",카오스 전미분(시간영역),"dx_k = |x_k − x_{k−1}|;  count{ k : dx_k > θ } ≥ 5,  θ = 0.05",시간축 고변화율(스파이크 빈도),"dx = np.abs(np.diff(x))
detected = (dx > 0.05).sum() >= 5
","alert tcp any any -> any any (msg:""ADWARE Ikeda High-derivative""; content:""DERIV_SPIKE""; sid:100003; rev:1;)",
4,논리폭탄 (Rabinovich–Fabrikant),dx/dt = y(z−1+x^2)+b x;  dy/dt = x(3z+1−x^2)+b y;  dz/dt = −2z(a+x y),카오스-푸리에-행렬곱/행렬합(야코비안 가중),w(t)=||J(x(t))||_2 / median(||J||); x_w(t)=w(t)·x(t); Apply #1 rule on F=|FFT(x_w)|,조건 만족 시 폭발 구간을 가중해 스펙트럼 집중성 증폭,"J = np.array([jac_norm(state) for state in states])  # ||J||_2
w = np.clip(J/np.median(J), 0.5, 3.0)
xw = x * w
F = np.abs(np.fft.fft(xw))[:len(xw)//2]
detected = (F[:-1]*F[1:]).max() > 1e6 or                    np.convolve(F, np.ones(64),'valid').max() > 5e5
","alert tcp any any -> any any (msg:""LOGICBOMB Rabinovich Chaos-weighted""; content:""CHAOS_EXPLOSION""; sid:100004; rev:1;)",
5,제로데이 (Logistic),x_{k+1} = r x_k (1 - x_k),카오스 전미분(시간영역),"dx_k = |x_k − x_{k−1}|;  count{ k : dx_k > θ } ≥ 5,  θ = 0.05",시간축 고변화율(스파이크 빈도),"dx = np.abs(np.diff(x))
detected = (dx > 0.05).sum() >= 5
","alert tcp any any -> any any (msg:""ZERODAY Logistic Derivative""; content:""DERIV_SPIKE""; sid:100005; rev:1;)",
6,웜 (Hénon),"x_{k+1}=1−a x_k^2 + y_k,  y_{k+1} = b x_k",카오스 전미분(시간영역),Same as #5,시간축 고변화율(스파이크 빈도),"dx = np.abs(np.diff(x))
detected = (dx > 0.05).sum() >= 5
","alert tcp any any -> any any (msg:""WORM Henon Derivative""; content:""DERIV_SPIKE""; sid:100006; rev:1;)",
7,스파이웨어 (Chua),"dx/dt=α(y−x−h(x)), dy/dt=x−y+z, dz/dt=−β y;  h(x)=m1 x + 0.5(m0−m1)(|x+1|−|x−1|)",카오스 전미분(시간영역),Same as #5,불규칙 고변화(중저주파 요동),"dx = np.abs(np.diff(x))
detected = (dx > 0.05).sum() >= 5
","alert tcp any any -> any any (msg:""SPYWARE Chua Derivative""; content:""DERIV_SPIKE""; sid:100007; rev:1;)",
8,스케어웨어 (Tinkerbell),"x' = x^2 − y^2 + a x + b y,  y' = 2xy + c x + d y  (discrete map)",카오스 전미분(시간영역),Same as #5,진동성 고변화,"dx = np.abs(np.diff(x))
detected = (dx > 0.05).sum() >= 5
","alert tcp any any -> any any (msg:""SCAREWARE Tinkerbell Derivative""; content:""DERIV_SPIKE""; sid:100008; rev:1;)",
9,파일리스 (Circle),θ_{k+1} = (θ_k + ω − (K/2π) sin(2π θ_k)) mod 1,카오스 전미분(시간영역),Same as #5 (θ 사용),순환 진폭 변화(위상 불연속),"dθ = np.abs(np.diff(theta))
detected = (dθ > 0.05).sum() >= 5
","alert tcp any any -> any any (msg:""FILELESS Circle Derivative""; content:""DERIV_SPIKE""; sid:100009; rev:1;)",
10,Trojan Horse (Hybrid Chaos),"dx/dt = a(y - x), dy/dt = x(b - z) - y, dz/dt = xy - c z + Trojan_payload(t)",Chaos Derivative + Fourier Spectrum,dx_k = |x_k - x_{k-1}|; F = |FFT(x)|; Condition: mean(dx_k) > θ1 AND max(F) > θ2,High temporal variation + High-frequency spectral concentration,dx = np.abs(np.diff(x)); F = np.abs(np.fft.fft(x)); detected = (dx.mean()>0.05) and (F.max()>10**3),"alert tcp any any -> any any (msg:""TROJAN Hybrid Chaos""; flow:established; content:""|90 90 90|""; threshold:type threshold, track by_src, count 1, seconds 60; sid:900010; rev:1;)",0.95
